id,citations,hindex,gindex,title,cs_author,biology_author,sociology_author,is_bridge_node,label
325425,1468,15,37,3,0,0,0,0,325425
66499,102,6,9,0,0,0,0,0,66499
187377,27,4,5,0,0,0,0,0,187377
364868,2836,15,53,0,0,0,0,0,364868
372305,502,13,22,3,0,0,0,0,372305
45036,2758,21,52,0,0,0,0,0,45036
94641,3079,28,53,0,0,0,0,0,94641
207638,4666,39,56,3,0,0,0,0,207638
45037,607,7,24,0,0,0,0,0,45037
71451,252,10,15,0,0,0,0,0,71451
400275,251,10,15,3,0,0,0,0,400275
47429,22,2,4,0,0,0,0,0,47429
159045,469,9,21,3,0,0,0,0,159045
219502,504,12,21,0,0,0,0,0,219502
222636,8902,46,93,0,0,0,0,0,222636
270085,0,0,0,0,0,0,0,0,270085
288368,1528,10,39,0,0,0,0,0,288368
324350,36,1,6,0,0,0,0,0,324350
362048,8902,46,93,0,0,0,0,0,362048
374294,69,4,7,0,0,0,0,0,374294
396748,341,9,18,0,0,0,0,0,396748
45040,39,3,5,0,1,0,0,0,45040
128489,539,13,22,0,1,0,0,0,128489
45042,1668,12,40,0,0,0,0,0,45042
149042,1543,22,38,0,0,0,0,0,149042
326387,440,10,20,0,0,0,0,0,326387
45043,228,7,15,3,0,1,0,0,45043
64989,51,5,7,0,0,1,0,0,64989
93292,141,5,11,0,0,0,0,0,93292
117739,23,3,4,0,0,0,0,0,117739
233454,48,5,6,0,1,1,0,0,233454
278108,69,5,7,0,1,0,0,0,278108
122372,8810,21,93,3,1,0,0,0,122372
202837,394,9,19,0,0,0,0,0,202837
249970,2988,28,51,3,0,0,0,0,249970
278677,635,10,25,0,1,0,0,0,278677
298633,27,3,5,2,0,0,0,0,298633
323964,386,11,17,0,0,0,0,0,323964
45046,131,6,11,0,0,0,0,0,45046
142331,226,8,12,3,0,0,0,0,142331
45051,138,5,11,0,0,0,0,0,45051
130490,770,15,27,0,1,0,0,0,130490
45054,189,7,13,3,0,0,0,0,45054
108218,80,4,8,0,0,0,0,0,108218
45056,13,2,3,0,0,0,0,0,45056
391184,1498,19,38,0,0,0,0,0,391184
64659,0,0,0,0,0,1,0,0,64659
312943,76,4,8,0,0,0,0,0,312943
45064,19,2,3,0,0,0,0,0,45064
119672,374,11,19,2,0,0,0,0,119672
158818,34,3,5,1,0,0,0,0,158818
137227,893,9,29,0,1,0,0,0,137227
139704,1679,17,40,0,1,0,0,0,139704
188154,623,8,24,0,1,0,0,0,188154
216418,637,11,25,1,1,0,0,0,216418
226494,38,3,6,0,1,0,0,0,226494
246047,426,8,20,0,1,0,0,0,246047
285476,2213,10,47,0,0,0,0,0,285476
294413,1885,21,40,3,1,0,0,0,294413
298847,14,3,3,0,1,0,0,0,298847
392568,2,1,1,0,1,0,0,0,392568
400578,209,3,14,0,1,0,0,0,400578
261087,1929,12,43,3,0,0,0,0,261087
276321,8714,33,93,3,0,0,0,0,276321
344377,315,9,17,0,0,0,0,0,344377
216985,509,9,22,0,0,0,0,0,216985
325346,265,4,16,0,0,0,0,0,325346
45076,25,2,5,0,0,0,0,0,45076
202127,242,7,15,0,0,0,0,0,202127
153285,501,12,21,3,0,0,0,0,153285
208497,64,3,8,0,0,1,0,0,208497
45079,1586,21,38,0,1,0,0,0,45079
66381,4109,34,61,0,0,0,0,0,66381
173342,2367,23,48,0,0,0,0,0,173342
324568,901,17,30,0,0,0,0,0,324568
361210,257,8,14,0,0,0,0,0,361210
140859,437,8,20,0,0,0,0,0,140859
146883,442,10,20,0,0,0,0,0,146883
45086,979,11,31,3,0,1,0,0,45086
45089,702,12,26,3,0,1,0,0,45089
98768,268,7,16,0,1,0,0,0,98768
113786,268,8,16,2,0,0,0,0,113786
145211,1572,25,38,3,1,0,0,0,145211
155288,177,6,13,0,0,0,0,0,155288
356021,157,4,12,0,1,0,0,0,356021
45091,195,7,11,0,0,0,0,0,45091
99383,1581,17,39,3,0,1,0,0,99383
123525,33,1,5,2,0,1,0,0,123525
216488,1915,16,43,3,1,1,0,0,216488
337632,382,7,19,0,0,0,0,0,337632
343968,836,12,28,0,0,1,0,0,343968
55006,66,3,8,0,0,1,0,0,55006
240331,125,7,11,0,0,0,0,0,240331
45101,151,4,12,0,0,1,0,0,45101
187827,7979,43,89,0,0,1,0,0,187827
248087,784,15,28,2,0,1,0,0,248087
333926,4295,9,65,0,0,1,0,0,333926
45103,42,4,6,0,0,1,0,0,45103
297560,67,4,8,1,0,1,0,0,297560
45104,213,6,14,2,0,1,0,0,45104
45108,25,4,4,0,0,1,0,0,45108
45112,36,2,6,3,0,1,0,0,45112
72734,387,10,19,3,0,1,0,0,72734
90344,91,3,9,3,0,1,0,0,90344
80611,774,11,27,3,0,1,0,0,80611
364539,4,2,2,0,0,1,0,0,364539
45122,13,2,3,0,0,0,0,0,45122
258252,51,3,7,0,0,1,0,0,258252
156749,1323,16,35,3,1,1,0,0,156749
360195,1618,11,40,0,0,1,0,0,360195
45127,95,5,8,3,1,0,0,0,45127
85926,10,2,3,0,0,0,0,0,85926
141204,30,3,4,0,1,0,0,0,141204
171163,191,7,13,3,1,0,0,0,171163
196805,9,2,2,0,0,0,0,0,196805
358457,198,7,13,0,1,0,0,0,358457
45128,23,2,4,0,0,0,0,0,45128
174016,56,3,4,0,0,1,0,0,174016
51424,5,2,2,0,0,1,0,0,51424
309662,458,13,21,0,0,1,0,0,309662
320578,12,2,3,0,0,1,0,0,320578
45131,0,0,0,0,0,0,0,0,45131
93059,259,8,15,3,0,0,0,0,93059
164772,289,11,16,0,0,0,0,0,164772
45132,27,3,4,0,0,1,0,0,45132
69112,0,0,0,0,0,1,0,0,69112
45134,1068,18,29,0,1,0,0,0,45134
66848,1068,18,29,3,1,0,0,0,66848
144064,198,7,14,0,0,0,0,0,144064
309616,131,6,11,0,1,0,0,0,309616
396824,255,9,15,0,0,0,0,0,396824
335121,78,4,8,3,0,0,0,0,335121
45140,19,3,3,0,1,0,0,0,45140
45141,137,7,10,0,0,0,0,0,45141
251373,146,7,9,3,0,0,0,0,251373
45142,44,4,6,1,1,0,0,0,45142
59596,18,2,4,1,1,1,0,0,59596
313388,74,5,8,1,1,0,0,0,313388
381146,297,7,17,0,1,0,0,0,381146
45144,736,11,27,2,0,1,0,0,45144
339650,2323,25,46,3,1,0,0,0,339650
355760,145,6,11,3,0,0,0,0,355760
45153,2891,26,52,0,0,0,0,0,45153
74314,415,9,20,0,0,0,0,0,74314
399785,1240,16,35,0,0,0,0,0,399785
87044,134,4,11,0,0,1,0,0,87044
130493,6921,50,83,0,0,0,0,0,130493
251492,931,19,27,0,0,0,0,0,251492
313589,139,8,11,0,0,1,0,0,313589
356793,398,12,18,0,0,0,0,0,356793
356271,21,2,4,2,0,0,0,0,356271
150565,314,10,13,0,1,0,0,0,150565
54184,33,3,4,0,0,0,0,0,54184
99036,2165,17,46,0,0,1,0,0,99036
230628,39,5,5,0,0,0,0,0,230628
263755,1,1,1,0,0,0,0,0,263755
45162,482,12,18,0,0,1,0,0,45162
64545,1754,24,38,0,0,1,0,0,64545
119444,1046,16,30,0,0,1,0,0,119444
344780,247,5,15,0,0,0,0,0,344780
81210,1485,15,38,0,1,0,0,0,81210
82139,45,4,6,0,1,0,0,0,82139
45164,6,2,2,0,1,0,0,0,45164
94385,381,8,19,0,0,0,0,0,94385
133633,207,9,12,0,0,0,0,0,133633
162653,4217,34,62,0,0,0,0,0,162653
188692,340,11,17,0,0,0,0,0,188692
57768,20,3,4,1,0,0,0,0,57768
100966,258,9,15,0,0,0,0,0,100966
301418,294,7,17,0,1,0,0,0,301418
45168,62,5,7,3,0,0,0,0,45168
119323,1877,18,43,3,0,0,0,0,119323
123536,512,9,22,0,1,0,0,0,123536
140587,3,1,1,0,0,0,0,0,140587
182788,5,1,2,0,0,0,0,0,182788
360497,99,4,9,3,0,0,0,0,360497
363025,72,5,8,3,0,1,0,0,363025
45172,470,5,21,0,0,0,0,0,45172
98813,23,3,4,1,1,0,0,0,98813
164195,1,1,1,0,0,0,0,0,164195
205298,157,6,12,0,0,0,0,0,205298
369600,1666,22,38,0,0,0,0,0,369600
89549,352,6,18,0,0,0,0,0,89549
89877,200,4,14,3,0,0,0,0,89877
129086,455,10,20,0,0,0,0,0,129086
214771,659,9,25,0,0,0,0,0,214771
221381,3869,21,62,0,0,0,0,0,221381
293257,20,3,4,0,0,0,0,0,293257
314057,1151,8,33,3,1,0,0,0,314057
335329,1990,17,44,3,0,0,0,0,335329
387152,7263,33,85,3,0,0,0,0,387152
389710,66,3,8,3,0,0,0,0,389710
262438,433,13,20,0,0,0,0,0,262438
288316,987,18,30,3,0,0,0,0,288316
395302,166,6,9,0,0,0,0,0,395302
45176,64,3,8,0,1,1,0,0,45176
394113,283,11,16,0,0,1,0,0,394113
45177,91,5,9,0,1,0,0,0,45177
103397,1366,19,35,3,0,0,0,0,103397
127745,4127,30,64,0,0,0,0,0,127745
172407,521,12,22,2,0,0,0,0,172407
392123,285,6,16,0,1,1,0,0,392123
45182,53,5,7,0,0,0,0,0,45182
45184,4010,22,63,0,0,1,0,0,45184
188955,156,6,12,0,0,0,0,0,188955
189250,718,7,26,0,1,1,0,0,189250
136528,364,7,19,0,1,1,0,0,136528
48867,287,9,16,0,0,0,0,0,48867
70443,6552,43,74,0,0,0,0,0,70443
125935,884,10,29,1,0,0,0,0,125935
343049,1611,21,39,0,0,0,0,0,343049
81683,4,1,2,0,0,0,0,0,81683
125060,101,6,9,0,1,0,0,0,125060
140120,21,3,4,0,0,0,0,0,140120
176898,75,4,8,3,0,0,0,0,176898
265707,25,3,4,0,0,0,0,0,265707
306654,21,3,4,0,0,0,0,0,306654
333363,2,1,1,0,0,0,0,0,333363
336705,271,8,13,0,0,0,0,0,336705
340449,25,3,4,0,0,0,0,0,340449
176603,50,2,7,1,0,1,0,0,176603
179796,34,3,5,1,0,0,0,0,179796
270904,33,3,5,0,1,0,0,0,270904
398128,3170,23,56,0,0,1,0,0,398128
45198,106,5,10,0,1,0,0,0,45198
45199,106,4,10,0,0,0,0,0,45199
121655,307,9,17,0,0,0,0,0,121655
45205,274,11,16,0,0,1,0,0,45205
164402,192,8,13,0,0,0,0,0,164402
45206,1188,18,33,0,0,0,0,0,45206
133742,325,9,17,3,0,0,0,0,133742
45207,126,6,11,0,0,1,0,0,45207
152404,855,9,29,0,0,0,0,0,152404
231072,781,9,27,0,0,0,0,0,231072
401823,131,4,11,0,1,0,0,0,401823
45212,134,6,10,3,1,1,0,0,45212
45214,253,5,15,0,0,0,0,0,45214
276965,253,5,15,0,0,1,0,0,276965
96403,1482,15,38,0,0,0,0,0,96403
157952,357,5,18,0,0,0,0,0,157952
178986,213,5,14,0,0,0,0,0,178986
236669,177,4,13,0,0,0,0,0,236669
327873,295,11,17,0,0,0,0,0,327873
354451,48,2,6,1,0,0,0,0,354451
380568,387,7,19,0,0,0,0,0,380568
45226,656,17,25,0,0,1,0,0,45226
256320,410,11,18,0,0,1,0,0,256320
53192,172,5,13,0,0,0,0,0,53192
125703,2728,30,50,0,0,0,0,0,125703
147474,343,8,18,0,0,1,0,0,147474
159773,2728,30,50,3,0,0,0,0,159773
195886,826,8,28,2,1,1,0,0,195886
275881,508,9,22,0,0,1,0,0,275881
280192,1166,19,34,0,0,1,0,0,280192
45235,0,0,0,3,0,0,0,0,45235
190816,0,0,0,0,0,0,0,0,190816
281320,3107,18,55,0,0,0,0,0,281320
70517,37,3,5,0,0,0,0,0,70517
360666,82,4,8,0,0,0,0,0,360666
91263,2,1,1,0,0,0,0,0,91263
109766,4906,26,70,0,0,1,0,0,109766
353993,1444,11,38,0,0,1,0,0,353993
368968,264,8,16,0,0,1,0,0,368968
45242,166,8,10,0,0,0,0,0,45242
299638,12151,58,110,3,0,1,0,0,299638
45246,294,9,14,0,1,0,0,0,45246
141760,1926,22,40,3,1,0,0,0,141760
283423,878,16,25,3,1,0,0,0,283423
75823,207,8,14,0,0,0,0,0,75823
45252,0,0,0,0,1,0,0,0,45252
130260,101,5,10,0,0,0,0,0,130260
243589,126,5,11,0,0,0,0,0,243589
311625,2945,28,53,0,0,0,0,0,311625
61539,1681,13,41,0,1,0,0,0,61539
90736,8,2,2,0,0,0,0,0,90736
132847,508,10,22,0,1,0,0,0,132847
145820,0,0,0,1,1,0,0,0,145820
191258,314,9,17,0,1,0,0,0,191258
266405,9,2,3,0,1,0,0,0,266405
291838,6,2,2,0,1,0,0,0,291838
299231,222,3,14,0,1,0,0,0,299231
356257,40,4,6,0,1,0,0,0,356257
179297,79,4,8,0,0,0,0,0,179297
108594,324,9,18,3,1,0,0,0,108594
137535,23,3,4,1,1,0,0,0,137535
307009,97,6,9,0,1,0,0,0,307009
313003,108,5,10,0,1,1,0,0,313003
260151,824,18,28,3,1,0,0,0,260151
294442,1919,23,43,3,1,0,0,0,294442
347133,21,3,4,0,0,0,0,0,347133
145852,609,8,24,0,0,0,0,0,145852
178465,957,10,30,2,0,0,0,0,178465
199324,82,5,9,0,0,0,0,0,199324
45269,14,2,3,0,0,0,0,0,45269
144887,1551,16,39,3,0,0,0,0,144887
45273,59,6,7,0,0,0,0,0,45273
45274,958,8,30,0,0,0,0,0,45274
203092,416,6,20,3,0,0,0,0,203092
336469,71,3,8,0,1,0,0,0,336469
140392,186,6,13,3,0,0,0,0,140392
49141,11,2,3,0,0,1,0,0,49141
216194,160,6,12,0,1,0,0,0,216194
381866,15,3,3,0,0,1,0,0,381866
45281,77,5,8,0,1,0,0,0,45281
245738,62,4,7,0,0,0,0,0,245738
226879,1621,20,39,3,0,0,0,0,226879
45284,21,3,4,0,0,1,0,0,45284
164499,67,5,8,0,0,1,0,0,164499
330597,67,5,8,0,0,1,0,0,330597
45286,31,3,5,0,1,0,0,0,45286
250565,14,2,3,0,0,0,0,0,250565
45287,89,5,9,0,0,1,0,0,45287
324935,1617,18,40,2,0,1,0,0,324935
342730,96,3,9,0,1,1,0,0,342730
144614,35,3,4,2,0,1,0,0,144614
188239,332,9,17,0,0,0,0,0,188239
218815,1715,18,38,3,1,0,0,0,218815
325538,2103,21,44,0,0,0,0,0,325538
100437,99,6,9,0,0,0,0,0,100437
201131,4234,35,62,3,0,1,0,0,201131
249019,442,12,20,0,0,0,0,0,249019
138278,1000,10,31,0,1,1,0,0,138278
87471,784,15,27,3,1,0,0,0,87471
111543,23,3,4,0,0,0,0,0,111543
378861,10,2,3,0,1,0,0,0,378861
45298,613,10,24,0,1,0,0,0,45298
79972,456,11,21,0,1,0,0,0,79972
223829,21,2,4,0,1,0,0,0,223829
216172,82,6,8,0,0,0,0,0,216172
251730,1086,20,32,3,0,1,0,0,251730
45301,11,2,3,0,0,0,0,0,45301
195461,489,13,22,3,0,0,0,0,195461
205499,836,13,28,3,0,0,0,0,205499
241006,202,8,14,0,0,0,0,0,241006
381686,1363,13,36,0,0,0,1,0,381686
45304,347,11,17,0,0,0,0,0,45304
286101,83,4,8,3,0,0,0,0,286101
45306,33,3,5,0,1,0,1,0,45306
79291,62,4,7,0,1,0,0,0,79291
278762,458,10,21,0,0,0,0,0,278762
119528,1201,16,34,0,0,0,0,0,119528
274413,1256,17,29,0,0,0,0,0,274413
353234,917,16,28,0,0,0,0,0,353234
45311,928,15,30,0,0,0,0,0,45311
206228,641,10,25,3,0,0,1,0,206228
45314,2091,19,32,3,0,0,0,0,45314
193294,151,8,11,0,0,0,0,0,193294
52688,25,3,5,2,0,1,0,0,52688
45320,57,4,7,0,0,0,0,0,45320
45322,262,10,15,3,1,0,0,0,45322
142507,807,17,26,0,1,0,0,0,142507
217973,106,6,10,0,1,0,0,0,217973
229072,280,9,16,0,0,0,0,0,229072
45323,5177,21,71,3,0,0,0,0,45323
169784,53,2,7,0,0,0,0,0,169784
287539,278,9,16,0,0,1,0,0,287539
396313,1438,19,37,3,0,1,0,0,396313
45324,144,4,12,0,0,0,0,0,45324
134937,272,7,16,0,0,0,0,0,134937
45326,451,12,20,0,0,0,0,0,45326
196110,267,8,16,0,1,0,0,0,196110
317824,383,10,18,0,0,0,0,0,317824
45327,1694,20,41,0,0,0,0,0,45327
130638,56,6,7,3,0,0,0,0,130638
157612,9,2,2,3,0,0,0,0,157612
49810,96,5,8,3,0,0,0,0,49810
55044,2992,21,54,3,0,0,0,0,55044
265233,1775,22,42,0,0,0,0,0,265233
45332,976,13,31,0,0,1,0,0,45332
253752,976,13,31,0,0,1,0,0,253752
45333,36,3,6,0,0,1,0,0,45333
160722,54,3,7,0,0,1,0,0,160722
45334,379,11,19,0,0,1,0,0,45334
321805,1157,12,34,3,0,1,0,0,321805
392915,272,9,15,3,0,0,0,0,392915
45336,0,0,0,1,0,1,0,0,45336
304866,0,0,0,0,0,1,0,0,304866
45339,304,10,17,0,0,0,0,0,45339
45345,188,8,13,0,0,0,0,0,45345
45347,2,1,1,0,0,0,0,0,45347
56157,23,3,4,0,0,0,0,0,56157
45348,1792,17,41,0,0,0,0,0,45348
76686,1135,15,33,3,0,0,0,0,76686
268112,121,6,10,0,0,0,0,0,268112
277707,20,3,4,0,0,0,0,0,277707
292965,2549,19,50,3,0,0,0,0,292965
45354,51,3,7,0,1,1,0,0,45354
45358,112,6,8,0,0,0,0,0,45358
393290,359,10,18,0,0,0,0,0,393290
74737,114,5,10,0,0,0,0,0,74737
279467,11,2,3,0,1,0,0,0,279467
45364,56,5,6,0,1,0,0,0,45364
113632,32,3,5,1,1,0,0,0,113632
124524,3,1,1,0,1,0,0,0,124524
396495,162,4,12,0,1,0,0,0,396495
179944,1108,18,33,0,0,1,0,0,179944
45369,39,3,6,0,0,0,0,0,45369
74243,309,9,17,3,0,0,0,0,74243
125095,166,8,12,0,0,1,0,0,125095
140714,3032,19,55,0,0,0,0,0,140714
94593,190,8,13,0,1,0,0,0,94593
166665,135,7,11,0,1,0,0,0,166665
322066,118,6,10,3,1,0,0,0,322066
324796,55,5,7,0,0,0,0,0,324796
325129,219,9,14,0,1,0,0,0,325129
367490,259,9,14,0,1,0,0,0,367490
45371,764,13,27,0,0,0,0,0,45371
93375,1836,22,42,0,1,1,0,0,93375
45372,49,4,7,0,0,1,0,0,45372
167940,1259,17,35,0,0,1,0,0,167940
45375,42,5,5,0,0,0,0,0,45375
