node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
135271,397,3,19,3,1,0,0,0,non_bridge
135272,108,6,9,3,0,0,0,0,non_bridge
135273,4,1,2,0,0,1,0,0,non_bridge
135274,5476,38,66,3,0,0,0,0,non_bridge
135275,825,16,27,0,1,0,0,1,bridge
135276,3005,26,54,0,0,0,0,0,non_bridge
135277,943,18,30,0,0,0,0,0,non_bridge
135278,283,7,16,0,0,0,0,1,bridge
135279,1669,17,40,2,1,1,0,0,non_bridge
135280,4449,31,66,3,0,0,0,1,bridge
135281,125,2,11,0,0,1,0,1,bridge
135282,2,1,1,0,0,0,0,0,non_bridge
135283,9,2,3,0,0,0,0,0,non_bridge
135284,1663,16,40,3,0,0,0,0,non_bridge
135285,686,16,24,0,0,1,0,1,bridge
135286,608,13,24,0,0,0,0,0,non_bridge
135287,1701,24,39,0,0,0,0,0,non_bridge
135288,86,3,9,0,0,0,0,1,bridge
135289,704,18,25,0,0,0,0,0,non_bridge
135290,422,11,18,0,0,0,0,0,non_bridge
135291,1,1,1,0,0,0,0,0,non_bridge
135292,2224,28,44,0,0,0,0,0,non_bridge
135293,560,9,23,0,0,1,0,0,non_bridge
135294,1731,26,38,3,0,0,0,0,non_bridge
135295,439,7,20,0,0,0,0,0,non_bridge
135296,15,2,3,0,0,1,0,0,non_bridge
135297,0,0,0,0,0,0,0,0,non_bridge
135298,5,2,2,0,0,0,0,0,non_bridge
135299,264,7,16,0,1,1,0,0,non_bridge
135300,21,3,3,0,0,0,0,0,non_bridge
135301,0,0,0,0,0,0,0,1,bridge
135302,277,9,16,0,0,0,0,0,non_bridge
135303,208,8,14,0,0,1,0,0,non_bridge
135304,1154,17,33,0,0,0,0,0,non_bridge
135305,94,5,9,1,0,0,0,0,non_bridge
135306,181,4,13,0,0,1,0,1,bridge
135307,1578,21,34,0,0,0,0,1,bridge
135308,281,9,16,0,0,0,0,0,non_bridge
135309,368,10,19,0,0,0,0,0,non_bridge
135310,17,1,4,3,0,0,0,0,non_bridge
135311,273,3,16,0,0,0,0,0,non_bridge
135312,1,1,1,0,0,1,0,1,bridge
135313,1,1,1,0,0,1,0,0,non_bridge
135314,67,4,8,0,1,0,0,1,bridge
135315,21,2,3,0,1,1,0,0,non_bridge
135316,80,4,8,0,1,0,0,0,non_bridge
135317,2810,27,48,3,1,0,0,1,bridge
135318,0,0,0,0,0,0,0,0,non_bridge
135319,21,2,4,0,0,0,0,0,non_bridge
135320,802,10,28,0,0,0,0,0,non_bridge
135321,1253,18,35,0,0,0,0,0,non_bridge
135322,81,5,9,3,0,0,0,0,non_bridge
135323,292,5,17,0,0,0,0,0,non_bridge
135324,232,9,14,3,1,0,0,0,non_bridge
135325,0,0,0,3,0,0,0,0,non_bridge
135326,2,1,1,3,0,0,0,0,non_bridge
135327,9,2,2,2,0,0,0,0,non_bridge
135328,1159,17,33,3,0,0,0,1,bridge
135329,0,0,0,0,1,0,0,0,non_bridge
135330,282,5,16,0,0,0,0,1,bridge
135331,2484,24,47,3,0,0,0,0,non_bridge
135332,474,12,21,0,0,1,0,0,non_bridge
135333,2155,20,46,3,0,0,0,1,bridge
135334,424,9,19,0,0,0,0,0,non_bridge
