980,173348
981,91691
983,389790
985,117517
986,89743
987,25980
988,24731
989,296902
990,193946
992,98340
995,85702
997,195178
998,75860
999,250060
1000,30862
1001,35689
1002,227199
1003,300334
1004,3591
1004,124931
1005,157665
1006,108219
1007,245644
1009,3472
1010,62444
1011,138738
1012,375578
1013,97765
1014,269639
1015,384160
1016,254616
1017,159198
1018,145482
1019,278918
1020,133176
1021,47903
1024,23328
1027,316273
1028,127510
1029,192627
1030,223906
1030,266081
1031,38185
1031,373483
1032,210054
1033,20770
1034,201448
1037,99473
1038,251937
1039,239047
1040,256506
1042,305228
1043,327492
1044,96835
1045,115408
1046,46910
1046,388000
1047,280801
1048,75512
1049,377070
1052,5683
1053,183966
1054,87616
1055,277709
1059,46361
1062,343098
1063,233723
1065,247461
1067,219374
1069,65130
1071,142470
1071,201406
1072,274990
1073,47928
1073,257913
1074,265145
1075,246959
1076,162303
1079,342083
1080,29502
1081,94556
1082,275660
1083,166303
1084,201886
1085,206075
1086,196267
1087,358862
1088,46066
1089,52647
1091,232622
1092,355427
1095,63717
1096,103517
1097,349524
1098,233816
1099,6826
1100,82765
1101,38482
1102,158318
1103,290888
1104,22928
1106,145341
1108,332451
1110,355
1114,153268
1115,51523
1116,221949
1118,17232
1119,55532
1120,124079
1123,215032
1124,24571
1125,39868
1126,2177
1127,305844
1128,11277
1128,262039
1130,165802
1130,222463
1132,83421
1136,284303
1137,339953
1137,358932
1138,270395
1139,167473
1141,292572
1142,202544
1144,147895
1145,286469
1147,27509
1148,120647
1150,256054
1155,218644
1157,233728
1158,129748
1158,201624
1159,123436
1160,274325
1161,156140
1162,371610
1163,299080
1164,111261
1165,151975
1166,212071
1167,337214
1169,60389
1169,135783
1169,328888
1170,167406
1172,20782
1174,367671
1175,77845
1176,60823
1179,57191
1180,355786
1181,374064
1184,72645
1185,179095
1185,318386
1186,153132
1187,314217
1189,95685
1189,149408
1190,292318
1192,213448
1193,202762
1194,164630
1197,32567
1198,169813
1199,3110
1200,172805
1201,123641
1201,163835
1202,332814
1205,232004
1206,258756
1207,297400
1208,206547
1209,159720
1211,384477
1214,87806
1215,259118
1216,11539
1218,172371
1219,188831
1220,3931
1221,73965
1222,384280
1223,158771
1224,51752
1225,230703
1229,379230
1230,185582
1231,164903
1235,126632
1236,153064
1236,243029
1237,179358
1239,308786
1240,150469
1241,141133
1242,311940
1243,75690
1244,383167
1245,395068
1246,181683
1246,185142
1246,346356
1247,373143
1249,185343
1250,170455
1254,10606
1257,198347
1258,348940
1258,378477
1259,268092
1261,320272
1262,360817
1263,317184
1264,43331
1265,163467
1267,124459
1268,53810
1268,129119
1269,102749
1270,377431
1271,299237
1272,73355
1273,366620
1274,204772
1275,11317
1275,236893
1276,15006
1276,211616
1276,254760
1277,246072
1278,156090
1279,16699
1281,278469
1286,277090
1286,345592
1287,375337
1288,189132
1289,53662
1291,303682
1292,363765
1293,136268
1293,353920
1294,50298
1296,189027
1297,66109
1303,289589
1304,20270
1306,279791
1307,206852
1308,268894
1310,360398
1312,2501
1313,379296
1314,42541
1316,113527
1318,385656
1320,124752
1321,276314
1322,254788
1323,201554
1324,5313
1325,91942
1325,111044
1326,326034
1327,302323
1328,9843
1329,53992
1330,150071
1331,250008
1332,358928
1334,51993
1335,220147
1336,116524
1336,370039
1337,167338
1338,386474
1339,139247
1339,236000
1340,301974
1341,320502
1342,35399
1342,230766
1343,188817
1344,96138
1345,119202
1345,249273
1346,63440
1347,198293
1347,262024
1348,279341
1349,172046
1350,270201
1351,382880
1352,263880
1352,275094
1353,245977
1355,300317
1356,35639
1357,164822
1358,383491
1360,109431
1361,118564
1361,121029
1361,241961
1361,299984
1362,254916
1363,118374
1364,325738
1365,321211
1366,345367
1367,349785
1368,131525
1369,112149
1371,229312
1373,275729
1374,315572
1376,225128
1377,27616
1378,65549
1381,25066
1381,206031
1382,277914
1383,265450
1386,181286
1387,347418
1388,157865
1389,303048
1390,291498
1391,201513
1392,247388
1393,228056
1394,170641
1395,85467
1398,43661
1400,76142
1400,294958
1401,88624
1402,296469
1404,57955
1404,174804
1404,299206
1405,20261
1406,395805
1407,319692
1409,2808
1409,95551
1409,128896
1410,245354
1411,272039
1417,361159
1418,368548
1418,371754
1419,172633
1420,35831
1421,98099
1424,193109
1425,125943
1426,233211
1427,121432
1427,206000
1431,192527
1432,379941
1433,76755
1434,96047
1436,248649
1439,213668
1440,358711
1441,200673
1442,13216
1444,54586
1446,237910
1449,321186
1450,189823
1451,81000
1452,229931
1453,54988
1455,232023
1456,159583
1457,51275
1459,238145
1460,312165
1461,177856
1463,150983
1464,135230
1464,248502
1465,120228
1465,336120
