node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
53839,796,16,27,0,1,0,0,1,bridge
53844,91,5,7,0,0,0,0,1,bridge
53845,4877,20,69,0,0,0,0,1,bridge
53850,230,7,15,0,1,0,0,1,bridge
53856,111,6,9,0,0,0,0,1,bridge
53861,31,2,5,1,0,1,0,1,bridge
53873,94,3,9,0,0,0,0,1,bridge
53874,14,2,3,0,0,0,0,1,bridge
53877,2,1,1,1,0,0,0,1,bridge
53884,282,9,16,0,0,0,0,1,bridge
53885,422,9,19,0,1,0,0,1,bridge
53888,373,10,19,0,0,1,0,1,bridge
53889,520,13,21,0,0,0,0,1,bridge
53894,4,1,2,0,0,0,0,1,bridge
53901,154,3,12,0,0,0,0,1,bridge
53909,7,1,2,0,0,0,0,1,bridge
53912,170,6,12,0,0,0,0,1,bridge
53919,406,10,20,0,0,0,0,1,bridge
53920,3,1,1,0,0,0,0,1,bridge
53921,40,4,6,3,0,0,0,1,bridge
53926,755,14,27,0,0,0,0,1,bridge
53928,17,2,4,0,0,0,0,1,bridge
53930,5084,34,68,0,1,0,0,1,bridge
53941,5,2,2,0,0,1,0,1,bridge
53943,53,4,6,3,0,0,0,1,bridge
53963,29,3,5,0,0,0,0,1,bridge
53972,6840,50,78,0,0,0,0,1,bridge
53975,39,3,6,2,0,0,0,1,bridge
53976,3752,24,61,3,0,0,0,1,bridge
53981,1267,15,35,0,1,1,0,1,bridge
53986,136,7,11,0,0,0,0,1,bridge
53990,5,1,2,1,0,1,0,1,bridge
53997,66,5,8,0,0,1,0,1,bridge
53998,151,6,12,2,1,1,0,1,bridge
54019,60,4,7,0,1,0,0,1,bridge
54020,59,5,7,0,0,1,0,1,bridge
54021,225,9,14,3,0,1,0,1,bridge
54037,109,5,10,0,0,0,0,1,bridge
54050,1,1,1,0,0,0,0,1,bridge
54051,360,6,18,0,0,0,0,1,bridge
54055,3140,27,54,3,1,0,0,1,bridge
54059,862,9,29,3,0,0,0,1,bridge
54062,0,0,0,3,1,0,0,1,bridge
54063,15,1,3,0,0,0,0,1,bridge
54067,7,1,2,0,1,1,0,1,bridge
54072,227,8,15,0,0,0,0,1,bridge
54076,24,3,3,0,0,0,0,1,bridge
54087,1080,15,30,0,1,0,0,1,bridge
54090,1328,18,35,3,1,0,0,1,bridge
54091,2,1,1,3,0,0,0,1,bridge
54099,152,7,12,0,0,0,0,1,bridge
54103,538,10,23,0,0,1,0,1,bridge
54107,3,1,1,1,0,1,0,1,bridge
54111,3791,30,61,0,1,0,0,1,bridge
54114,11,2,3,0,0,0,0,1,bridge
54115,5,1,2,1,0,0,0,1,bridge
54116,40,2,6,3,0,0,0,1,bridge
54118,360,6,18,0,0,1,0,1,bridge
54120,352,10,17,0,0,0,0,1,bridge
54123,12,1,3,0,1,0,0,1,bridge
54127,550,10,23,3,0,1,0,1,bridge
54130,2233,25,45,3,0,0,0,1,bridge
54132,10,2,2,3,0,0,0,1,bridge
54135,3577,28,53,3,0,0,0,1,bridge
54140,103,6,9,0,0,0,0,1,bridge
54142,263,8,14,3,0,0,0,1,bridge
54155,5,2,2,0,0,1,0,1,bridge
54162,4540,27,66,3,1,1,0,1,bridge
54164,673,12,25,0,0,0,0,1,bridge
54165,126,4,11,0,0,0,0,1,bridge
54167,4764,37,67,0,1,0,0,1,bridge
54169,46,3,6,0,1,0,0,1,bridge
54175,39,4,4,0,0,0,0,1,bridge
54179,17,2,4,3,0,0,0,1,bridge
54182,118,8,10,0,0,0,0,1,bridge
54186,46,2,6,3,0,1,0,1,bridge
54191,5,1,2,1,0,1,0,1,bridge
54197,31,3,5,0,0,0,0,1,bridge
54220,4,1,1,3,0,0,0,1,bridge
54222,5286,40,71,3,0,0,0,1,bridge
54223,12,2,3,0,0,0,0,1,bridge
54224,24,4,4,3,1,0,0,1,bridge
54228,4097,33,56,3,1,0,0,1,bridge
54236,85,6,8,0,0,0,0,1,bridge
54242,506,11,22,3,0,0,0,1,bridge
54249,409,7,20,3,0,0,0,1,bridge
54253,31,1,5,0,0,0,0,1,bridge
54260,32,4,5,0,0,0,0,1,bridge
54261,103,6,8,3,1,0,0,1,bridge
